"","ssp.indifference.consistent","ssf.indifference.consistent","slf.indifference.consistent","slp.indifference.consistent","tdsp.indifference.consistent","tdlp.indifference.consistent","tdsf.indifference.consistent","tdlf.indifference.consistent"
"tdsf.consistent",-0.09,-0.04,-0.07,-0.16,0.01,-0.06,NA,0.06
"tdsf.indifference",0.27,0.19,0.13,0.21,0.71,0.42,1,0.57
"tdlf.consistent",-0.1,-0.09,-0.12,-0.15,0.01,-0.08,0.02,NA
"tdlf.indifference",0.19,0.13,0.07,0.17,0.7,0.56,0.54,1
"average",0.64,0.57,0.53,0.6,0.63,0.48,0.69,0.61
"ssp.indifference.consistent",1,0.82,0.77,0.84,0.29,0.25,0.37,0.31
"ssf.indifference.consistent",0.82,1,0.77,0.76,0.15,0.14,0.25,0.23
"slf.indifference.consistent",0.77,0.77,1,0.8,0.17,0.08,0.2,0.17
"slp.indifference.consistent",0.84,0.76,0.8,1,0.3,0.18,0.35,0.32
"tdsp.indifference.consistent",0.29,0.15,0.17,0.3,1,0.69,0.76,0.76
"tdlp.indifference.consistent",0.25,0.14,0.08,0.18,0.69,1,0.47,0.71
"tdsf.indifference.consistent",0.37,0.25,0.2,0.35,0.76,0.47,1,0.58
"tdlf.indifference.consistent",0.31,0.23,0.17,0.32,0.76,0.71,0.58,1
"average.consistent",0.85,0.78,0.75,0.84,0.64,0.55,0.64,0.64
"ssp.hyperbolic",-0.8,-0.53,-0.62,-0.7,-0.15,-0.06,-0.11,-0.1
"ssp.exponential",-0.8,-0.53,-0.62,-0.7,-0.15,-0.06,-0.11,-0.1
"ssf.hyperbolic",-0.47,-0.69,-0.58,-0.49,0.14,0.2,0.13,0.19
"ssf.exponential",-0.64,-0.87,-0.7,-0.63,0.06,0.1,0.01,0.07
"slf.hyperbolic",-0.38,-0.48,-0.72,-0.42,0.13,0.18,0.11,0.16
"slf.exponential",-0.57,-0.64,-0.89,-0.62,0.03,0.1,0.01,0.05
"slp.hyperbolic",NA,NA,NA,NA,NA,0.07,NA,NA
"slp.exponential",NA,NA,NA,NA,NA,0.07,NA,NA
"tdsp.hyperbolic",-0.19,-0.03,-0.1,-0.22,-0.94,-0.65,-0.62,-0.69
"tdsp.exponential",-0.19,-0.03,-0.1,-0.22,-0.94,-0.65,-0.62,-0.69
"tdlp.hyperbolic",-0.05,-0.02,0.04,0.05,-0.29,-0.55,0.1,-0.35
"tdlp.exponential",-0.05,-0.02,0.04,0.05,-0.29,-0.55,0.1,-0.35
"tdsf.hyperbolic",NA,NA,NA,NA,-0.6,-0.36,NA,NA
"tdsf.exponential",NA,NA,NA,NA,-0.69,-0.42,NA,NA
"tdlf.hyperbolic",-0.21,-0.15,-0.13,-0.2,-0.51,-0.52,-0.34,-0.87
"tdlf.exponential",-0.26,-0.19,-0.15,-0.27,-0.65,-0.63,-0.46,-0.96
"Patience",0.86,0.77,0.74,0.84,0.65,0.55,0.64,0.64
"s.Patience",0.94,0.91,0.9,0.93,0.25,0.18,0.32,0.28
"td.Patience",0.37,0.23,0.18,0.35,0.93,0.83,0.81,0.87
"Confused",-0.02,0.05,0.06,0.03,-0.13,0.04,-0.25,-0.1
